t,pm25
2026-04-25T00:00:00,17.766
2026-04-25T01:00:00,19.317
2026-04-25T02:00:00,16.657
2026-04-25T03:00:00,18.416
2026-04-25T04:00:00,17.842
2026-04-25T05:00:00,17.171
2026-04-25T06:00:00,17.182
2026-04-25T07:00:00,17.742
2026-04-25T08:00:00,27.377
2026-04-25T09:00:00,27.822
2026-04-25T10:00:00,19.068
2026-04-25T11:00:00,17.101
2026-04-25T12:00:00,17.142
2026-04-25T13:00:00,18.567
2026-04-25T14:00:00,16.513
2026-04-25T15:00:00,16.720
2026-04-25T16:00:00,16.840
2026-04-25T17:00:00,17.830
2026-04-25T18:00:00,29.620
2026-04-25T19:00:00,29.160
2026-04-25T20:00:00,18.419
2026-04-25T21:00:00,17.137
2026-04-25T22:00:00,17.024
2026-04-25T23:00:00,17.507
2026-04-26T00:00:00,19.272
