t,pm25
2026-04-25T00:00:00,6.088
2026-04-25T01:00:00,6.054
2026-04-25T02:00:00,6.675
2026-04-25T03:00:00,7.606
2026-04-25T04:00:00,6.751
2026-04-25T05:00:00,5.581
2026-04-25T06:00:00,6.977
2026-04-25T07:00:00,6.071
2026-04-25T08:00:00,11.691
2026-04-25T09:00:00,12.339
2026-04-25T10:00:00,7.899
2026-04-25T11:00:00,7.847
2026-04-25T12:00:00,8.001
2026-04-25T13:00:00,6.142
2026-04-25T14:00:00,5.748
2026-04-25T15:00:00,7.265
2026-04-25T16:00:00,8.105
2026-04-25T17:00:00,6.049
2026-04-25T18:00:00,10.174
2026-04-25T19:00:00,11.668
2026-04-25T20:00:00,8.275
2026-04-25T21:00:00,6.991
2026-04-25T22:00:00,8.246
2026-04-25T23:00:00,6.812
2026-04-26T00:00:00,7.123
