generation,best_fitness,mean_fitness,std_fitness
0,-2.0,-784.73,287.44041458844214
1,-3.5,-452.6,442.25425552572386
2,-3.5,-99.68,266.87952567495654
3,1.0,-7.49,15.14807524649483
4,2.5,-1.91,2.666286112301728
5,2.5,0.55,2.2525495758887826
6,2.5,2.02,0.9791708278967882
7,2.5,2.44,0.2969229955832361
8,4.0,2.68,0.4923910839889739
9,4.0,3.01,0.7177771810476097
10,4.0,3.61,0.6646312465401781
11,5.5,4.12,0.510701798049128
12,5.5,4.3,0.6060915267313265
13,5.5,4.9,0.7423074889580903
14,5.5,5.32,0.4923910839889739
15,5.5,5.47,0.21213203435596426
16,5.5,5.5,0.0
17,5.5,5.5,0.0
18,5.5,5.5,0.0
19,5.5,5.5,0.0
20,5.5,5.5,0.0
21,5.5,5.5,0.0
22,5.5,5.5,0.0
23,5.5,5.5,0.0
24,5.5,5.5,0.0
25,5.5,5.5,0.0
26,5.5,5.5,0.0
27,5.5,5.5,0.0
28,5.5,5.5,0.0
29,5.5,5.5,0.0
30,5.5,5.5,0.0
31,5.5,5.5,0.0
32,5.5,5.5,0.0
33,5.5,5.5,0.0
34,5.5,5.47,0.21213203435596426
35,5.5,5.5,0.0
36,5.5,5.5,0.0
37,5.5,5.5,0.0
38,5.5,5.5,0.0
39,5.5,5.5,0.0
40,5.5,5.5,0.0
41,5.5,5.5,0.0
42,5.5,5.5,0.0
43,5.5,5.5,0.0
44,5.5,5.5,0.0
45,5.5,5.5,0.0
46,5.5,5.5,0.0
47,5.5,5.5,0.0
48,5.5,5.5,0.0
49,5.5,5.5,0.0
