t,temp_C,humidity
2026-04-25T00:00:00,14.068,0.8622
2026-04-25T01:00:00,12.793,0.8601
2026-04-25T02:00:00,12.984,0.8678
2026-04-25T03:00:00,12.842,0.8693
2026-04-25T04:00:00,13.809,0.8488
2026-04-25T05:00:00,14.568,0.8583
2026-04-25T06:00:00,16.004,0.8435
2026-04-25T07:00:00,17.057,0.8115
2026-04-25T08:00:00,18.790,0.7933
2026-04-25T09:00:00,20.978,0.7611
2026-04-25T10:00:00,21.735,0.7276
2026-04-25T11:00:00,23.580,0.7288
2026-04-25T12:00:00,23.928,0.7099
2026-04-25T13:00:00,24.786,0.6863
2026-04-25T14:00:00,24.885,0.6765
2026-04-25T15:00:00,25.095,0.6843
2026-04-25T16:00:00,23.806,0.6844
2026-04-25T17:00:00,23.640,0.7184
2026-04-25T18:00:00,22.159,0.7200
2026-04-25T19:00:00,20.677,0.7584
2026-04-25T20:00:00,18.852,0.7823
2026-04-25T21:00:00,17.187,0.8204
2026-04-25T22:00:00,15.636,0.8492
2026-04-25T23:00:00,14.260,0.8611
2026-04-26T00:00:00,14.021,0.8648
