t,temp_C,humidity
2026-04-25T00:00:00,15.778,0.2710
2026-04-25T01:00:00,14.290,0.2918
2026-04-25T02:00:00,14.422,0.2808
2026-04-25T03:00:00,14.053,0.2958
2026-04-25T04:00:00,15.993,0.2587
2026-04-25T05:00:00,17.465,0.2665
2026-04-25T06:00:00,19.759,0.2475
2026-04-25T07:00:00,22.530,0.1876
2026-04-25T08:00:00,26.346,0.1937
2026-04-25T09:00:00,29.033,0.1410
2026-04-25T10:00:00,32.182,0.1220
2026-04-25T11:00:00,34.477,0.1163
2026-04-25T12:00:00,36.874,0.0983
2026-04-25T13:00:00,37.561,0.0941
2026-04-25T14:00:00,38.245,0.0676
2026-04-25T15:00:00,37.358,0.0987
2026-04-25T16:00:00,35.922,0.0775
2026-04-25T17:00:00,34.618,0.1120
2026-04-25T18:00:00,31.606,0.1263
2026-04-25T19:00:00,29.260,0.1503
2026-04-25T20:00:00,26.482,0.1820
2026-04-25T21:00:00,23.265,0.2050
2026-04-25T22:00:00,20.122,0.2320
2026-04-25T23:00:00,17.461,0.2378
2026-04-26T00:00:00,15.342,0.2567
